label,treatment,flux,swc,ts,date_time,bulk_density,root_density,total_c_percent,total_n_percent,cn_ratio,c_stock_kgC_m2,flux_mgco2_kgc,porosity,wfps,micro,macro
10,NPK,2.02633333333333,0.26,NA,2023-06-16T10:48:00Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.04273593438212043,67.9246293962264,0.3827772080777,1.083691,74.542895
10,NPK,1.92166666666667,0.19,29.54,2023-06-23T12:31:00Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.04052848522995971,67.9246293962264,0.279721805902934,1.083691,74.542895
10,NPK,3.60733333333333,0.01,24.1,2023-07-06T08:03:00Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.07607966472829537,67.9246293962264,0.0147222003106808,1.083691,74.542895
10,NPK,3.11933333333333,0,32.4133333333333,2023-08-05T10:59:00Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.06578760880866642,67.9246293962264,0,1.083691,74.542895
10,NPK,4.28133333333333,0.23,30.2033333333333,2023-08-15T10:39:40Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.09029451245335667,67.9246293962264,0.338610607145658,1.083691,74.542895
10,NPK,2.04866666666667,0,32.6,2023-09-11T11:07:00Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.0432069506024861,67.9246293962264,0,1.083691,74.542895
10,NPK,2.05266666666667,0,29.3,2023-09-18T11:37:20Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.04329131171658142,67.9246293962264,0,1.083691,74.542895
10,NPK,1.018,0,23.9,2023-09-25T10:15:20Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.021469903537258757,67.9246293962264,0,1.083691,74.542895
10,NPK,0.887,0,27.6,2023-10-02T11:00:40Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.018707077050637053,67.9246293962264,0,1.083691,74.542895
10,NPK,0.556696666666667,0.296586666666667,17.95,2024-01-29T15:27:11Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.011740887753287656,67.9246293962264,0.436640831614377,1.083691,74.542895
10,NPK,0.59973,0.233013333333333,18.468333333333305,2024-01-30T13:03:39Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.012648472739096459,67.9246293962264,0.343046896839276,1.083691,74.542895
10,NPK,0.56194,0.237943333333333,16.83,2024-01-31T13:23:32Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.01185147111368093,67.9246293962264,0.350304941592442,1.083691,74.542895
10,NPK,0.5909,0.28997333333333303,15.5,2024-02-05T14:17:38Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.012462245579731041,67.9246293962264,0.426904549808914,1.083691,74.542895
10,NPK,0.537153333333333,0.2852,19.0366666666667,2024-02-06T14:49:57Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.011328713410003596,67.9246293962264,0.419877152860615,1.083691,74.542895
10,NPK,0.41361,0.215283333333333,15.3366666666667,2024-02-07T16:36:35Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.008723150100241252,67.9246293962264,0.316944435688439,1.083691,74.542895
10,NPK,0.822043333333333,0.2675,17.09722,2024-03-25T12:36:24Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.01733712285865747,67.9246293962264,0.39381885831071,1.083691,74.542895
10,NPK,0.906036666666667,0.320146666666667,13.8,2024-03-27T09:19:38Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.01910856565280237,67.9246293962264,0.471326335546341,1.083691,74.542895
10,NPK,0.806033333333333,0.27545,18.803333333333295,2024-03-29T10:25:57Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.016999467499490956,67.9246293962264,0.405523007557701,1.083691,74.542895
10,NPK,1.07748333333333,0.201256666666667,17.1844433333333,2024-04-01T08:53:13Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.0227244236047845,67.9246293962264,0.296294096052657,1.083691,74.542895
10,NPK,2.10917,0.33956,26.608333333333295,2024-07-30T09:25:23Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.04448298275410615,67.9246293962264,0.499907033749476,1.083691,74.542895
10,NPK,2.37534666666667,0.24361,28.4433333333333,2024-07-31T10:05:53Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.050096722790650826,67.9246293962264,0.358647521768494,1.083691,74.542895
10,NPK,2.39088333333333,0.173326666666667,27.065,2024-08-01T08:58:45Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.05042439541798258,67.9246293962264,0.255174990584926,1.083691,74.542895
10,NPK,2.92015,0.0824066666666667,27.8,2024-08-02T08:59:17Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.061586776831361656,67.9246293962264,0.121320745360217,1.083691,74.542895
11,NPK,1.19233333333333,0,28.7033333333333,2023-06-06T09:23:00Z,0.615443847,9.53213e-4,1.765,0.09,19.6111111111111,1.086258389955,0.04830764989734505,76.7757038867924,0,3.559817,70.873689
